timestamp_local,Factor 1,Factor 2,Factor 3,Factor 4
2025-08-07 03:00:00,0.029791382446701518,0.06012356710141269,0.08473859012043666,0.00882061324608132
2025-08-07 04:00:00,0.02637098903134957,0.06046945235457974,0.07911397030675166,0.008019978478428273
2025-08-07 05:00:00,0.03877338010027968,0.052929922106031944,0.053645013315424914,0.01204945552201777
2025-08-07 06:00:00,0.05550809018705669,0.09476305585880086,0.03377657546845187,0.020802793254102635
2025-08-07 07:00:00,0.038064363374343844,0.2579588951762168,0.051018160162016116,0.047259952781461896
2025-08-07 08:00:00,0.005227728093119778,0.26168640239487695,0.08835322168500188,0.027686906038118384
2025-08-07 09:00:00,0.009254724031620932,0.2783390280271186,0.08778640442339715,0.022977595327932365
2025-08-07 10:00:00,0.004783036055484025,0.2750849087702666,0.1019784778972078,0.017921670074751154
2025-08-07 11:00:00,0.0061115416407733466,0.23672208152551816,0.11406101690917342,0.06152639870438811
2025-08-07 12:00:00,0.011349806322988112,0.21836645817836436,0.12854609691339175,0.0
2025-08-07 13:00:00,0.02531130737417214,0.200661935621813,0.13219639307256442,0.0
2025-08-07 14:00:00,0.037282531474406445,0.17084653283702272,0.1239834652882227,0.0
2025-08-07 15:00:00,0.04635591979319128,0.1341747613115214,0.11396571799345129,0.0
2025-08-07 16:00:00,0.032383803665441475,0.05541033465773503,0.1239051973819269,0.0
2025-08-07 17:00:00,0.05155221570266532,0.04312548577753804,0.11030952634768884,0.0015238267744615004
2025-08-07 18:00:00,0.0726625672859233,0.024915366577076433,0.08099676864844434,0.007592823333822284
2025-08-07 19:00:00,0.07546039629526746,0.015860710745686592,0.07800636155507855,0.008699414744754871
2025-08-07 20:00:00,0.07526999836648438,0.012145346814651927,0.07571754116076634,0.009118259620016745
2025-08-07 21:00:00,0.05189340275538307,0.013347170907215903,0.09246128774264005,0.00901866301582418
2025-08-07 22:00:00,0.02908067690972145,0.015301649137967922,0.10940719994141415,0.009245620833229235
2025-08-07 23:00:00,0.023656538055733336,0.020401900332795066,0.10199127717511025,0.009566556365874728
2025-08-08 00:00:00,0.021751559227310563,0.019193430967347963,0.10018285184328718,0.009390028373490985
2025-08-08 01:00:00,0.029607427709289577,0.021446554534582857,0.08892208446820732,0.011502277815734688
2025-08-08 02:00:00,0.03639486111580705,0.020705455485653165,0.07734446858232608,0.012010900740490896
2025-08-08 03:00:00,0.022389647943828174,0.022252117182773753,0.09396604332393806,0.011597098504050857
2025-08-08 04:00:00,0.023805282808583638,0.024701697036038108,0.08723057151226067,0.015091953636039717
2025-08-08 05:00:00,0.02674157052922133,0.02715792088989834,0.07655176116115422,0.013113614229624771
2025-08-08 06:00:00,0.0288869052951433,0.02762654032073441,0.07741449240141333,0.012652717647936376
2025-08-08 07:00:00,0.02647990218691451,0.02800900439491154,0.081162310952308,0.01877335949251951
2025-08-08 08:00:00,0.033446087384949,0.024335571227316402,0.07684435142783887,0.010658904080446154
2025-08-08 09:00:00,0.01535985332159856,0.01963421394659183,0.10679003665094183,0.007424046662375439
2025-08-08 10:00:00,0.014276673956391515,0.020509222175393912,0.11851452593719397,0.0
2025-08-08 11:00:00,0.02585034575645922,0.02291167276641603,0.11606321065935031,0.005458010873346271
2025-08-08 12:00:00,0.037818876374148304,0.025156552153447795,0.1231299430677097,0.002028165981226857
2025-08-08 13:00:00,0.029748550168481474,0.02501234646531886,0.1459766548615878,0.0
2025-08-08 14:00:00,0.011809113592216435,0.024185162588401088,0.15698358133792048,0.0
2025-08-08 15:00:00,0.012000604813639652,0.021773847418439053,0.15567482471766034,0.0
2025-08-08 16:00:00,0.018113317460145644,0.021214246327154816,0.1483978035073355,0.0
2025-08-08 17:00:00,0.06657796836304705,0.021920364614905093,0.10223072143761444,0.0
2025-08-08 18:00:00,0.07444935121460608,0.021104782287900716,0.08740786793079595,0.00011574896714612836
2025-08-08 19:00:00,0.08381032653777667,0.02737805156252751,0.0729718596071186,0.002748314531074768
2025-08-08 20:00:00,0.08329467621799129,0.029983781383940523,0.06880277110277902,0.003880700069798767
2025-08-08 21:00:00,0.06971648129379776,0.03086270258230222,0.07504300235777761,0.0040043045941350955
2025-08-08 22:00:00,0.02095523206504094,0.032459435293971745,0.11638750956679642,0.00275998010272163
2025-08-08 23:00:00,0.03342831704250903,0.03438986050796894,0.09788253001211016,0.0030158445510073185
