,co,no,no2,o3,bin0,bin1,bin2,bin3,bin4,bin5
Factor 1,0.8828293422521847,7.777060993863654,3.973822694854258,0.090702051556779,0.3617035250119179,0.0,0.0,0.045069775038049105,0.07093321275065309,0.041792529664396595
Factor 2,0.209875571570752,0.6392725868356989,0.4808446038525826,0.0019723478094908964,3.3294395155609795,1.068697973889886,0.529965644445404,0.2667276462878983,0.030733058144767872,0.0
Factor 3,0.46876983160321517,0.0,4.331636990849711,0.05821462429338919,0.288950705282426,0.0,0.0,0.030622519840074677,0.12057823899408,0.13103899744407535
Factor 4,0.10648174693563453,0.2588259408841403,0.14883306386915335,0.008437781877548081,0.0,0.7098025747716449,0.9923704151364147,1.4778982294963663,1.408027991818051,1.2963091829441837
