timestamp_local,co,no2,o3,no,bin0,bin1,bin2,bin3,bin4,bin5
2025-08-07 03:00:00,0.08963575720119248,0.2718585762064023,0.5147078049418224,0.00661972908854366,0.23384676935387075,0.07515861395802831,0.038910505836575876,0.03289473684210526,0.025510204081632654,0.023255813953488372
2025-08-07 04:00:00,0.09165086493576302,0.24486383182035357,0.47587919989541116,0.0070789010484426425,0.23204640928185635,0.0746705710102489,0.040207522697795074,0.02631578947368421,0.025510204081632654,0.023255813953488372
2025-08-07 05:00:00,0.09707691717003074,0.3370759675107501,0.4106419139756831,0.007308487028392133,0.20704140828165632,0.06198145436798439,0.03372243839169909,0.03289473684210526,0.030612244897959183,0.029069767441860468
2025-08-07 06:00:00,0.10606006185278442,0.49665551839464883,0.41312589881030204,0.007040636718451061,0.34566913382676534,0.12005856515373353,0.05966277561608301,0.05263157894736842,0.04591836734693878,0.040697674418604654
2025-08-07 07:00:00,0.19627545668137641,0.468944099378882,0.4966662308798536,0.010293104767735518,0.8617723544708941,0.39189848706686187,0.17250324254215305,0.1118421052631579,0.0816326530612245,0.06395348837209303
2025-08-07 08:00:00,0.13723168537071417,0.21356903965599616,0.5307883383448817,0.00681105073850157,0.8829765953190638,0.35627135187896536,0.1517509727626459,0.09210526315789475,0.061224489795918366,0.046511627906976744
2025-08-07 09:00:00,0.18708919112064512,0.25179168657429524,0.5473918159236502,0.008953853218030152,0.9349869973994799,0.3801854563201562,0.1582360570687419,0.08552631578947369,0.05612244897959184,0.03488372093023256
2025-08-07 10:00:00,0.1850815146377079,0.21380793119923552,0.5880507255850438,0.014349123746843195,0.9351870374074814,0.3504148365056125,0.14396887159533076,0.07894736842105263,0.061224489795918366,0.03488372093023256
2025-08-07 11:00:00,0.15762799402031952,0.21285236502627808,0.6336776049156753,0.008800795898063825,0.8373674734946989,0.28013665202537824,0.13488975356679636,0.13157894736842105,0.14795918367346939,0.12790697674418605
2025-08-07 12:00:00,0.08528104374406273,0.22981366459627328,0.708850830173879,0.00910691053799648,0.7813562712542509,0.21961932650073207,0.08041504539559015,0.039473684210526314,0.03571428571428572,0.023255813953488372
2025-08-07 13:00:00,0.09322876736590616,0.3270425226946966,0.7719963393907701,0.009374760847937555,0.7333466693338667,0.18984870668618842,0.0648508430609598,0.03289473684210526,0.030612244897959183,0.01744186046511628
